Carne,Nota
201906572,79
202010814,95.5
201906562,74.52
201325511,90
202000690,76.5
202003585,100
202010825,78.2
202003708,97.5
202010833,90
202012039,99
202006373,81
201607814,79
201603162,95
202006353,98
201903791,98
201700698,67
201902502,98
202010816,95
202006635,98
201901801,34.76
201900619,73.95
202001800,86.48
202002364,87.4
201901108,94
202001053,84.64
201902698,77
201900621,34.98
202010312,89
202001471,6.6
201708975,97
201807389,58.74
202010770,92
202004763,81
202004796,94
202001954,100
202010942,99
202002042,85
201906173,73.6
202006688,61.38
202004750,62.56
201902888,51.52
201612218,43.5
201503617,64
202002536,49.77
202006699,84.18
201403745,63
202001144,80
201800951,36
201801106,79
201800500,85
201800632,58.88